PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
66,0,3,"Synth0066, Mr. Passenger",female,34.9,0,0,TS655751,14.6888,,C
67,0,3,"Synth0067, Mr. Passenger",male,45.0,0,0,TS809201,8.8556,,S
68,0,2,"Synth0068, Master. Passenger",male,26.1,0,1,TS702389,20.3445,,Q
69,1,1,"Synth0069, Mr. Passenger",male,,4,0,TS635037,22.8085,A27,C
70,0,2,"Synth0070, Mrs. Passenger",male,,0,2,TS889109,11.6261,,S
71,0,1,"Synth0071, Mr. Passenger",male,9.7,1,0,TS324802,85.5447,,C
72,0,2,"Synth0072, Mrs. Passenger",male,30.8,0,0,TS456838,30.5257,,S
73,0,3,"Synth0073, Mr. Passenger",male,,0,1,TS563517,4.9248,,S
74,0,1,"Synth0074, Mr. Passenger",female,25.9,1,1,TS669850,69.4245,,S
75,1,1,"Synth0075, Miss. Passenger",male,45.7,0,0,TS476998,139.1649,B104,C
76,1,2,"Synth0076, Mrs. Passenger",female,4.2,0,2,TS442066,9.6795,,S
77,0,2,"Synth0077, Mr. Passenger",male,12.4,0,0,TS166157,22.4283,,S
78,0,3,"Synth0078, Mr. Passenger",male,15.6,1,1,TS638459,13.436,F72,S
79,0,3,"Synth0079, Master. Passenger",male,28.2,1,0,TS124511,30.6349,,S
80,0,3,"Synth0080, Mr. Passenger",male,24.2,1,0,TS475348,11.587,,C
81,0,3,"Synth0081, Mr. Passenger",male,,0,0,TS409573,11.9311,,S
82,0,2,"Synth0082, Mr. Passenger",male,41.4,1,0,TS776886,30.6678,,S
83,0,3,"Synth0083, Mr. Passenger",female,35.4,5,0,TS477084,6.6978,,C
84,0,1,"Synth0084, Mrs. Passenger",male,30.9,0,0,TS006254,75.2168,B100,C
85,0,1,"Synth0085, Mrs. Passenger",male,34.1,0,0,TS506508,66.8836,,S
86,1,1,"Synth0086, Mr. Passenger",male,17.8,1,2,TS216495,78.3637,,S
87,0,3,"Synth0087, Mrs. Passenger",male,40.1,0,0,TS380661,19.8688,,S
88,0,3,"Synth0088, Mr. Passenger",male,14.5,0,0,TS297140,17.1505,,S
89,0,1,"Synth0089, Miss. Passenger",male,39.9,1,0,TS167445,57.7703,,S
90,1,3,"Synth0090, Mr. Passenger",female,44.4,0,0,TS945448,13.9196,A30,S
91,0,1,"Synth0091, Mr. Passenger",female,31.7,0,0,TS254309,176.9802,,Q
92,0,3,"Synth0092, Mrs. Passenger",female,26.7,0,0,TS507538,8.5786,E49,S
93,0,2,"Synth0093, Mr. Passenger",male,,0,0,TS828304,21.5056,,C
94,0,2,"Synth0094, Mr. Passenger",male,0.4,1,0,TS364987,18.1587,,Q
95,1,2,"Synth0095, Mr. Passenger",female,,0,0,TS937353,19.3798,,S
96,0,3,"Synth0096, Mrs. Passenger",male,27.5,0,0,TS404907,5.7524,D69,S
97,0,2,"Synth0097, Mr. Passenger",male,28.3,1,1,TS946838,40.4924,,S
98,0,1,"Synth0098, Mrs. Passenger",male,,0,1,TS452370,57.0336,,C
99,1,1,"Synth0099, Miss. Passenger",female,,1,0,TS015412,140.3098,,S
100,0,3,"Synth0100, Mrs. Passenger",male,14.2,0,0,TS867961,9.5282,,S
101,1,3,"Synth0101, Mr. Passenger",female,27.2,0,0,TS864176,9.5086,E21,S
102,0,3,"Synth0102, Miss. Passenger",female,29.9,0,0,TS962372,23.8435,C88,C
103,0,2,"Synth0103, Mr. Passenger",male,30.5,0,0,TS124788,32.8738,,S
104,1,3,"Synth0104, Miss. Passenger",female,,1,2,TS844319,14.4296,,S
105,0,3,"Synth0105, Mrs. Passenger",male,42.5,1,0,TS342251,19.0206,,S
106,0,3,"Synth0106, Mr. Passenger",male,,4,0,TS841814,11.2534,,S
107,0,2,"Synth0107, Miss. Passenger",male,31.3,0,0,TS963552,19.9165,,Q
108,1,2,"Synth0108, Mr. Passenger",female,45.8,1,0,TS199815,14.3668,,Q
109,1,1,"Synth0109, Mr. Passenger",male,6.5,0,0,TS371856,132.0063,,C
110,0,3,"Synth0110, Mr. Passenger",male,31.3,2,0,TS269409,9.1912,,S
111,0,3,"Synth0111, Mrs. Passenger",male,,0,4,TS305330,27.3175,,S
112,1,1,"Synth0112, Mrs. Passenger",male,,1,0,TS596452,71.7293,,S
113,0,2,"Synth0113, Miss. Passenger",male,17.2,0,0,TS413048,20.2061,B4,S
114,0,3,"Synth0114, Mr. Passenger",male,26.8,0,0,TS656480,18.9976,,S
115,0,1,"Synth0115, Mrs. Passenger",male,52.9,1,0,TS674711,85.0083,,C
116,1,3,"Synth0116, Mrs. Passenger",female,12.6,0,1,TS203502,11.2009,,S
117,0,3,"Synth0117, Mrs. Passenger",male,13.8,0,2,TS044882,12.8063,,S
118,1,3,"Synth0118, Mr. Passenger",female,,3,1,TS746534,20.3251,,Q
119,0,2,"Synth0119, Mr. Passenger",male,,0,0,TS182408,14.358,,S
120,1,3,"Synth0120, Miss. Passenger",female,23.0,0,0,TS200763,12.2048,,S
121,0,3,"Synth0121, Mr. Passenger",male,28.7,0,0,TS601746,13.067,,C
122,0,3,"Synth0122, Mr. Passenger",male,23.8,0,0,TS263747,20.0302,B147,S
123,1,1,"Synth0123, Mr. Passenger",female,16.7,0,0,TS190553,79.9094,,S
124,0,2,"Synth0124, Mr. Passenger",male,25.9,2,0,TS307488,49.3966,,S
125,0,1,"Synth0125, Mr. Passenger",male,61.0,4,0,TS523104,77.6761,,C
126,1,3,"Synth0126, Mr. Passenger",female,47.1,0,1,TS846144,11.5433,,S
127,0,2,"Synth0127, Mrs. Passenger",female,17.9,1,0,TS988690,18.3608,C82,S
128,0,1,"Synth0128, Master. Passenger",male,37.4,0,2,TS732351,43.4885,,S
129,1,1,"Synth0129, Mr. Passenger",male,18.2,1,0,TS898969,50.0215,,S
130,1,3,"Synth0130, Mr. Passenger",female,5.9,0,0,TS531154,9.9704,,C
131,0,1,"Synth0131, Miss. Passenger",female,42.3,0,0,TS408919,148.225,,S
132,1,3,"Synth0132, Mr. Passenger",female,44.1,3,0,TS819928,12.7865,D146,S
133,0,3,"Synth0133, Dr. Passenger",male,42.6,1,0,TS303088,10.2024,,S
134,1,2,"Synth0134, Mr. Passenger",female,22.9,0,0,TS813114,36.9291,,S
135,0,3,"Synth0135, Mr. Passenger",male,26.8,0,0,TS998198,28.2343,A3,S
136,1,1,"Synth0136, Mr. Passenger",female,38.7,0,1,TS390442,157.3556,E117,S
137,0,3,"Synth0137, Mr. Passenger",male,34.1,0,0,TS633784,8.4859,F13,S
138,0,3,"Synth0138, Miss. Passenger",female,23.9,0,0,TS781655,10.1485,,S
139,0,3,"Synth0139, Mr. Passenger",male,8.0,0,0,TS783719,32.1952,,C
140,0,1,"Synth0140, Miss. Passenger",male,30.5,0,1,TS207036,94.7637,,Q
141,1,3,"Synth0141, Miss. Passenger",female,43.0,0,0,TS962640,11.3718,,S
142,0,3,"Synth0142, Miss. Passenger",male,13.4,0,0,TS503725,18.6179,,S
143,1,3,"Synth0143, Miss. Passenger",female,37.3,0,0,TS042746,21.5117,,S
144,1,3,"Synth0144, Mr. Passenger",male,33.3,2,0,TS119123,9.7691,,S
145,0,3,"Synth0145, Mr. Passenger",male,38.8,0,0,TS727868,14.5076,,S
146,0,2,"Synth0146, Miss. Passenger",male,40.3,1,0,TS427367,31.7856,,Q
147,1,2,"Synth0147, Mr. Passenger",male,20.0,0,3,TS108841,11.1964,,C
148,0,3,"Synth0148, Mr. Passenger",male,,0,0,TS520844,13.0805,,S
149,0,2,"Synth0149, Mr. Passenger",male,22.1,1,0,TS599944,11.4563,,Q
150,0,1,"Synth0150, Mr. Passenger",male,40.6,0,0,TS080838,51.3686,,S
151,0,3,"Synth0151, Miss. Passenger",female,22.0,0,0,TS350755,9.81,,S
152,0,3,"Synth0152, Mr. Passenger",female,20.0,0,0,TS463149,16.5025,,S
153,1,1,"Synth0153, Mrs. Passenger",female,5.3,0,0,TS780553,71.5077,,S
154,0,3,"Synth0154, Master. Passenger",male,51.8,0,0,TS652018,9.4003,,C
155,0,1,"Synth0155, Mr. Passenger",male,,0,0,TS087933,86.1934,,S
156,0,3,"Synth0156, Miss. Passenger",male,39.0,0,0,TS614473,7.3263,,S
157,1,2,"Synth0157, Mr. Passenger",female,41.6,0,2,TS902636,24.7824,F94,S
158,1,3,"Synth0158, Mr. Passenger",female,,0,0,TS055299,22.8887,,C
159,0,3,"Synth0159, Mr. Passenger",male,25.8,0,0,TS986648,12.4952,,S
160,1,3,"Synth0160, Mr. Passenger",female,26.9,1,2,TS096244,11.7473,,S
161,0,1,"Synth0161, Mr. Passenger",male,23.4,0,1,TS623040,101.2444,,S
162,0,3,"Synth0162, Mr. Passenger",male,63.3,0,0,TS352004,4.7148,,C
163,0,1,"Synth0163, Mr. Passenger",male,36.2,0,1,TS731060,109.8621,,S
164,0,1,"Synth0164, Mr. Passenger",male,,0,0,TS842842,396.1368,A13,S
165,1,3,"Synth0165, Mrs. Passenger",female,35.1,0,0,TS852006,12.2266,,C
166,0,2,"Synth0166, Mr. Passenger",female,15.9,0,1,TS869885,18.8435,,S
167,1,3,"Synth0167, Miss. Passenger",male,48.6,0,0,TS816434,18.8545,E141,S
168,0,3,"Synth0168, Miss. Passenger",male,20.4,5,0,TS310302,29.5953,,S
169,0,2,"Synth0169, Mrs. Passenger",female,35.5,2,0,TS465834,32.5643,,S
170,1,3,"Synth0170, Mrs. Passenger",female,42.9,0,0,TS719172,4.4244,,S
171,0,2,"Synth0171, Mrs. Passenger",male,34.0,0,0,TS169206,26.5076,,S
172,0,3,"Synth0172, Mrs. Passenger",male,30.2,0,2,TS577812,47.0361,,S
173,0,2,"Synth0173, Master. Passenger",male,,1,0,TS530681,27.3018,C140,S
174,0,3,"Synth0174, Master. Passenger",male,28.3,1,0,TS983437,7.2984,,S
175,1,1,"Synth0175, Mr. Passenger",female,21.5,0,0,TS050668,96.7114,,Q
176,1,1,"Synth0176, Mrs. Passenger",male,,0,0,TS095549,44.2773,C63,S
177,0,2,"Synth0177, Miss. Passenger",female,48.2,0,0,TS031070,37.045,,S
178,0,3,"Synth0178, Mr. Passenger",male,,1,3,TS548332,8.0608,F99,S
179,0,3,"Synth0179, Mr. Passenger",male,18.8,1,0,TS551215,13.4917,,S
180,1,3,"Synth0180, Mrs. Passenger",female,22.3,0,0,TS592944,8.466,,S
181,0,3,"Synth0181, Mrs. Passenger",male,43.3,0,0,TS242857,9.892,,S
182,0,3,"Synth0182, Mr. Passenger",male,37.8,0,0,TS308360,27.3311,,S
183,0,3,"Synth0183, Mr. Passenger",female,36.3,1,0,TS417444,13.6902,,S
184,1,2,"Synth0184, Mr. Passenger",female,25.7,2,0,TS047906,15.1217,D90,C
185,0,3,"Synth0185, Mr. Passenger",male,36.5,0,0,TS752724,7.3326,A16,C
186,0,3,"Synth0186, Miss. Passenger",male,20.6,0,0,TS053052,5.0993,F113,C
187,0,2,"Synth0187, Miss. Passenger",male,25.6,0,1,TS667228,10.6984,,S
188,0,1,"Synth0188, Mr. Passenger",male,41.6,0,0,TS454163,88.8364,,S
189,0,3,"Synth0189, Mr. Passenger",male,40.4,1,0,TS998822,21.2226,,S
190,0,2,"Synth0190, Miss. Passenger",male,16.2,0,0,TS692780,15.113,,C
191,0,3,"Synth0191, Mrs. Passenger",female,,1,0,TS476057,28.509,,Q
192,1,2,"Synth0192, Mr. Passenger",female,30.4,0,2,TS700474,13.971,,Q
193,1,1,"Synth0193, Mr. Passenger",female,51.4,0,0,TS118152,74.5754,,S
194,1,3,"Synth0194, Mr. Passenger",female,,0,0,TS181788,7.5773,,C
195,1,1,"Synth0195, Miss. Passenger",female,32.6,0,0,TS499453,137.8543,,S
196,0,1,"Synth0196, Mrs. Passenger",female,11.1,0,2,TS858113,239.7441,,C
197,0,3,"Synth0197, Mr. Passenger",female,20.8,0,0,TS820254,5.3873,,S
198,0,3,"Synth0198, Miss. Passenger",male,24.3,0,0,TS377784,10.9339,A137,S
199,0,1,"Synth0199, Mrs. Passenger",male,23.5,0,0,TS284384,158.0967,,S
200,0,2,"Synth0200, Miss. Passenger",male,22.1,0,0,TS964402,9.7013,,Q
201,0,3,"Synth0201, Mr. Passenger",male,,0,1,TS565859,17.2583,,S
202,0,3,"Synth0202, Mr. Passenger",male,22.0,1,0,TS119041,23.9432,,S
203,0,3,"Synth0203, Master. Passenger",male,10.0,2,0,TS225705,13.5186,,S
204,0,1,"Synth0204, Master. Passenger",male,39.1,0,0,TS836617,110.6031,F102,S
205,0,1,"Synth0205, Master. Passenger",male,38.8,1,1,TS898335,202.607,,Q
206,0,1,"Synth0206, Miss. Passenger",male,,1,0,TS908428,222.5229,,S
207,0,1,"Synth0207, Mr. Passenger",female,,5,0,TS007912,81.4373,,S
208,1,3,"Synth0208, Mr. Passenger",female,32.9,0,3,TS822852,9.9618,,C
209,1,1,"Synth0209, Mr. Passenger",male,37.8,0,0,TS112849,53.0284,B11,S
210,0,3,"Synth0210, Master. Passenger",male,15.6,0,1,TS809031,21.1879,B24,S
211,0,3,"Synth0211, Mr. Passenger",male,29.1,1,0,TS881612,6.5474,,S
212,1,3,"Synth0212, Miss. Passenger",female,27.5,1,0,TS361948,11.4577,D36,S
213,1,1,"Synth0213, Miss. Passenger",female,52.9,0,0,TS194423,88.4256,,S
214,0,3,"Synth0214, Master. Passenger",male,,0,0,TS713629,10.1092,,S
215,1,3,"Synth0215, Master. Passenger",female,7.4,1,0,TS069372,14.9522,B37,S
216,0,3,"Synth0216, Mr. Passenger",male,61.4,1,0,TS579766,46.8619,,C
217,0,1,"Synth0217, Mr. Passenger",male,,0,2,TS332237,79.045,E119,C
218,1,1,"Synth0218, Dr. Passenger",female,,0,0,TS425054,67.5666,,C
219,0,3,"Synth0219, Mr. Passenger",male,,0,0,TS825820,21.5983,,S
220,0,2,"Synth0220, Mr. Passenger",male,16.1,0,0,TS993117,22.5452,,S
221,0,2,"Synth0221, Master. Passenger",male,35.4,0,0,TS402785,41.075,D138,Q
222,0,3,"Synth0222, Mrs. Passenger",male,27.6,1,0,TS291163,14.1158,,C
223,1,3,"Synth0223, Mr. Passenger",female,36.2,3,1,TS834596,11.4815,A131,S
224,0,3,"Synth0224, Mr. Passenger",female,32.0,0,0,TS413730,5.3286,,S
225,0,2,"Synth0225, Mr. Passenger",male,,0,0,TS200649,8.8983,,S
226,0,3,"Synth0226, Master. Passenger",male,30.0,0,0,TS902957,5.1919,,S
227,1,1,"Synth0227, Mrs. Passenger",female,,0,0,TS991745,101.5434,,S
228,0,3,"Synth0228, Mr. Passenger",male,43.2,0,2,TS289718,6.5786,,S
229,1,3,"Synth0229, Mr. Passenger",female,36.5,0,0,TS158839,24.355,,Q
230,1,1,"Synth0230, Miss. Passenger",female,38.5,0,0,TS153528,85.28,,
231,1,1,"Synth0231, Miss. Passenger",male,20.4,0,0,TS599026,74.3455,,S
232,1,2,"Synth0232, Mr. Passenger",female,15.4,0,0,TS310689,13.1156,,S
233,0,3,"Synth0233, Mrs. Passenger",male,21.6,1,0,TS623480,17.7446,C93,C
234,0,3,"Synth0234, Mr. Passenger",male,20.9,0,2,TS759551,8.6946,,C
235,0,3,"Synth0235, Mr. Passenger",male,39.2,0,2,TS006693,7.9428,C5,S
236,1,3,"Synth0236, Mr. Passenger",male,41.7,1,0,TS859993,23.55,,S
237,0,3,"Synth0237, Mr. Passenger",female,,0,0,TS030136,15.522,E76,S
238,1,3,"Synth0238, Mr. Passenger",female,47.6,0,0,TS115330,11.5592,,C
239,1,1,"Synth0239, Mr. Passenger",female,46.8,0,0,TS725133,115.7616,,S
240,1,1,"Synth0240, Mr. Passenger",female,32.2,0,0,TS622090,84.376,,C
241,1,3,"Synth0241, Mr. Passenger",male,18.3,0,0,TS978481,15.7439,,S
242,0,3,"Synth0242, Mr. Passenger",male,49.5,0,0,TS567719,8.6411,,S
243,1,1,"Synth0243, Mrs. Passenger",female,28.2,0,0,TS417708,236.5161,,S
244,1,3,"Synth0244, Mr. Passenger",female,30.6,0,0,TS669128,9.7293,C6,S
245,0,3,"Synth0245, Mr. Passenger",male,24.6,0,0,TS762264,28.3027,,S
246,0,3,"Synth0246, Dr. Passenger",male,17.4,0,0,TS671384,11.8285,,S
247,0,3,"Synth0247, Mr. Passenger",male,9.9,0,0,TS371221,19.4627,F120,C
248,0,2,"Synth0248, Miss. Passenger",male,37.2,0,0,TS959507,28.8712,,S
249,1,2,"Synth0249, Mrs. Passenger",female,18.8,1,1,TS302311,35.4867,,Q
250,0,2,"Synth0250, Mrs. Passenger",male,68.8,0,0,TS347182,13.1368,A58,S
251,1,3,"Synth0251, Mr. Passenger",female,,0,0,TS278483,22.2595,A80,S
252,1,3,"Synth0252, Mr. Passenger",female,12.7,0,0,TS300466,32.726,A1,Q
253,1,3,"Synth0253, Miss. Passenger",female,35.6,0,0,TS213778,11.4227,D94,C
254,0,2,"Synth0254, Miss. Passenger",male,48.9,2,0,TS581643,20.3501,,S
255,0,1,"Synth0255, Mr. Passenger",male,29.8,0,0,TS729031,64.6568,,S
256,1,3,"Synth0256, Miss. Passenger",female,36.4,0,0,TS429988,10.9324,,S
257,0,3,"Synth0257, Mr. Passenger",female,5.0,1,0,TS922878,30.5896,A73,S
258,0,1,"Synth0258, Miss. Passenger",male,20.2,1,0,TS474280,50.8408,D12,S
259,1,1,"Synth0259, Miss. Passenger",female,15.0,1,1,TS467533,52.4446,,S
260,0,3,"Synth0260, Mr. Passenger",male,4.4,0,0,TS070207,29.0902,,S
261,1,1,"Synth0261, Miss. Passenger",female,30.5,0,0,TS903622,114.7885,,S
262,0,3,"Synth0262, Master. Passenger",male,0.4,0,0,TS149093,37.5298,,Q
263,0,2,"Synth0263, Miss. Passenger",male,11.8,0,0,TS165251,15.9668,A127,C
264,1,1,"Synth0264, Mr. Passenger",male,22.0,0,0,TS935438,89.4748,,C
265,0,3,"Synth0265, Miss. Passenger",male,18.2,1,0,TS520017,9.3428,,S
266,0,1,"Synth0266, Mrs. Passenger",male,34.2,0,0,TS069223,90.2395,A36,S
267,1,2,"Synth0267, Mr. Passenger",male,33.0,0,0,TS442361,8.2374,,S
268,0,1,"Synth0268, Miss. Passenger",male,40.6,0,0,TS590554,118.3083,,S
269,0,1,"Synth0269, Mr. Passenger",female,38.8,0,0,TS011079,98.7463,,S
270,1,1,"Synth0270, Miss. Passenger",male,43.8,0,0,TS754819,81.6172,,S
271,1,1,"Synth0271, Mrs. Passenger",female,29.0,1,0,TS668851,69.1055,,S
272,0,1,"Synth0272, Mr. Passenger",female,32.9,0,0,TS012851,53.7014,,S
273,0,1,"Synth0273, Master. Passenger",male,,0,1,TS618838,120.8649,,S
274,0,3,"Synth0274, Mr. Passenger",male,30.8,0,1,TS223525,7.2384,,S
275,0,3,"Synth0275, Mr. Passenger",female,,0,0,TS734684,16.7919,,S
276,1,2,"Synth0276, Mr. Passenger",female,24.7,0,0,TS377694,56.4276,,S
277,1,2,"Synth0277, Mr. Passenger",male,18.4,2,0,TS202940,42.0346,B78,Q
278,1,3,"Synth0278, Mrs. Passenger",female,34.5,0,0,TS507310,6.125,,S
279,0,3,"Synth0279, Mr. Passenger",male,27.8,0,0,TS443598,9.9401,,C
280,0,3,"Synth0280, Master. Passenger",male,20.4,4,0,TS342253,16.0495,F6,C
281,1,1,"Synth0281, Master. Passenger",female,20.4,0,0,TS878552,81.0994,,S
282,1,1,"Synth0282, Miss. Passenger",male,13.3,2,1,TS649349,41.7256,,S
283,1,1,"Synth0283, Mr. Passenger",female,41.7,0,0,TS487919,101.8473,F100,S
284,0,2,"Synth0284, Mrs. Passenger",male,30.0,0,0,TS227170,19.9001,,S
285,1,3,"Synth0285, Mr. Passenger",female,17.8,2,0,TS569114,33.8559,,S
286,0,2,"Synth0286, Miss. Passenger",male,,0,0,TS026457,17.6215,,C
287,0,1,"Synth0287, Mr. Passenger",male,,0,0,TS884870,150.6288,,Q
288,0,2,"Synth0288, Master. Passenger",male,10.7,0,2,TS002569,10.6142,,S
289,0,3,"Synth0289, Mr. Passenger",male,42.3,0,1,TS699141,7.7752,,S
290,1,1,"Synth0290, Mr. Passenger",female,,0,0,TS346166,120.4998,,S
291,0,3,"Synth0291, Dr. Passenger",male,23.7,0,0,TS719386,22.3497,F136,C
292,0,1,"Synth0292, Mr. Passenger",male,,1,0,TS362300,52.0456,,S
293,0,3,"Synth0293, Miss. Passenger",male,43.9,0,0,TS027125,13.1574,,S
294,0,1,"Synth0294, Miss. Passenger",male,29.3,0,0,TS948654,42.0991,,C
295,0,3,"Synth0295, Mr. Passenger",female,13.4,0,0,TS766225,11.8739,D93,S
296,0,3,"Synth0296, Mr. Passenger",male,36.1,0,0,TS045735,19.7551,,S
297,1,3,"Synth0297, Mr. Passenger",female,22.7,0,0,TS033843,10.4591,,S
298,1,3,"Synth0298, Miss. Passenger",male,53.5,0,0,TS530534,11.478,,S
299,1,3,"Synth0299, Master. Passenger",female,,0,2,TS956632,7.3894,,S
300,0,3,"Synth0300, Mr. Passenger",male,0.4,0,0,TS578234,9.4006,,S
301,0,3,"Synth0301, Miss. Passenger",male,33.6,0,1,TS011705,31.3121,E4,S
302,1,1,"Synth0302, Mr. Passenger",female,54.3,0,0,TS699575,87.1194,,C
303,0,3,"Synth0303, Mrs. Passenger",female,49.5,0,1,TS428345,7.8758,,S
304,1,3,"Synth0304, Miss. Passenger",female,,5,0,TS639095,11.1069,,Q
305,0,3,"Synth0305, Miss. Passenger",male,15.7,2,0,TS350981,5.8488,,S
306,0,3,"Synth0306, Mr. Passenger",male,40.9,0,0,TS009131,7.8293,,C
307,0,2,"Synth0307, Mr. Passenger",female,19.6,3,2,TS019335,39.4843,E77,S
308,0,3,"Synth0308, Mr. Passenger",male,31.9,1,0,TS632225,12.1061,,C
